Site,Treatment,Plant Species,phylo_dist,Label,Data
3SS,CapBac,CapBac,0,phloem_feeder,2
3SS,CapBac,CapBac,0,pollinator,0
3SS,CapBac,CapBac,0,predator,0
3SS,CapBacCasDec,CapBac,247.5,ant,0
3SS,CapBacCasDec,CapBac,247.5,herbivore,0
3SS,CapBacCasDec,CapBac,247.5,phloem_feeder,2
3SS,CapBacCasDec,CapBac,247.5,pollinator,0
3SS,CapBacCasDec,CapBac,247.5,predator,0
3SS,CapBacCasSyl,CapBac,247.5,ant,0
3SS,CapBacCasSyl,CapBac,247.5,herbivore,0
3SS,CapBacCasSyl,CapBac,247.5,phloem_feeder,1
3SS,CapBacCasSyl,CapBac,247.5,pollinator,0
3SS,CapBacCasSyl,CapBac,247.5,predator,0
3SS,CapBacCasSyl,CasSyl,247.5,ant,0
3SS,CapBacCasSyl,CasSyl,247.5,herbivore,1
3SS,CapBacCasSyl,CasSyl,247.5,phloem_feeder,0
3SS,CapBacCasSyl,CasSyl,247.5,pollinator,0
3SS,CapBacCasSyl,CasSyl,247.5,predator,0
3SS,CapBacCelIgu,CapBac,247.5,ant,0
3SS,CapBacCelIgu,CapBac,247.5,herbivore,0
3SS,CapBacCelIgu,CapBac,247.5,phloem_feeder,2
3SS,CapBacCelIgu,CapBac,247.5,pollinator,0
3SS,CapBacCelIgu,CapBac,247.5,predator,0
3SS,CapBacCelIgu,CelIgu,247.5,ant,0
3SS,CapBacCelIgu,CelIgu,247.5,herbivore,0
3SS,CapBacCelIgu,CelIgu,247.5,phloem_feeder,1
3SS,CapBacCelIgu,CelIgu,247.5,pollinator,0
3SS,CapBacCelIgu,CelIgu,247.5,predator,1
3SS,CapBacTreMic,CapBac,247.5,ant,0
3SS,CapBacTreMic,CapBac,247.5,herbivore,0
3SS,CapBacTreMic,CapBac,247.5,phloem_feeder,1
3SS,CapBacTreMic,CapBac,247.5,pollinator,0
3SS,CapBacTreMic,CapBac,247.5,predator,0
3SS,CasDec,CasDec,0,ant,0
3SS,CasDec,CasDec,0,herbivore,0
3SS,CasDec,CasDec,0,phloem_feeder,2
3SS,CasDec,CasDec,0,pollinator,0
3SS,CasDec,CasDec,0,predator,0
3SS,CasDecCasSyl,CasDec,25.3,ant,0
3SS,CasDecCasSyl,CasDec,25.3,herbivore,0
3SS,CasDecCasSyl,CasDec,25.3,phloem_feeder,2
3SS,CasDecCasSyl,CasDec,25.3,pollinator,0
3SS,CasDecCasSyl,CasDec,25.3,predator,0
